"theme_name","set_name","set_year","unique_part","parts"
"12V","12V Diesel Locomotive with Crane and Tipper Wagon","1972","Not Unique","39"
"12V","12V Electric Train with 2 Wagons","1970","Not Unique","34"
"12V","12V Electric Train with 2 Wagons","1970","Unique","1"
"12V","12V Extension Cord Pack","1970","Unique","3"
"12V","12V Freight Train and Track","1974","Not Unique","61"
"12V","12V Locomotive","1977","Not Unique","29"
"12V","12V Motor","1980","Not Unique","7"
"12V","12V Motor with Accessories Pack","1969","Not Unique","12"
"12V","12V New Transformer for 110V Pack","1970","Unique","1"
"12V","12V New Transformer for 220V Pack","1974","Unique","1"
"12V","12V Rail Contact Wire with Transformer Connector","1969","Not Unique","1"
"12V","12V Rail Contact Wire with Transformer Connector with Cap","1974","Unique","1"
"12V","12V Replacement Electric Motor","1969","Not Unique","1"
"12V","12V Sleeper (Track) Contacts for Old Motor Type I and II","1969","Not Unique","1"
"12V","12V Train Light Posts","1983","Not Unique","11"
"12V","12V Transformer for 220V Pack","1969","Unique","1"
"12V","8 Curved 12V Conducting Rails","1969","Not Unique","1"
"12V","8 Curved Electric Rails Gray 12v","1980","Not Unique","1"
"12V","8 Straight 12V Conducting Rails","1969","Not Unique","1"
"12V","8 Straight Electric Rails Gray 12v","1980","Not Unique","1"
"12V","Automatic Left Electric Switch","1969","Not Unique","4"
"12V","Automatic Left Electric Switch","1969","Unique","1"
"12V","Automatic Right Electric Switch","1969","Not Unique","4"
"12V","Automatic Right Electric Switch","1969","Unique","1"
"12V","Car Transport Depot","1986","Not Unique","109"
"12V","Container Crane Depot","1986","Not Unique","134"
"12V","Crossing, Electric Rails Gray 12v","1980","Not Unique","1"
"12V","Crossing, Electric Rails Gray 12v","1980","Unique","1"
"12V","Diesel Heavy Shunting Locomotive","1983","Not Unique","59"
"12V","Diesel Locomotive","1970","Not Unique","24"
"12V","Diesel Locomotive","1970","Unique","1"
"12V","Diesel Locomotive with DB Sticker","1974","Not Unique","23"
"12V","Diesel Shunter Locomotive","1980","Not Unique","54"
"12V","Diesel Shunter Locomotive","1980","Unique","1"
"12V","Electric Crossing","1974","Not Unique","1"
"12V","Electric Crossing","1974","Unique","1"
"12V","Electric Goods Train","1980","Not Unique","116"
"12V","Electric Passenger Train","1981","Not Unique","70"
"12V","Freight Steam Train","1983","Not Unique","128"
"12V","Freight Train","1985","Not Unique","129"
"12V","High-Speed City Express Passenger Train","1985","Not Unique","133"
"12V","High-Speed City Express Passenger Train","1985","Unique","4"
"12V","Inter-City Passenger Train","1980","Not Unique","119"
"12V","Inter-City Passenger Train","1980","Unique","1"
"12V","Left and Right Manual Points with Electric Rails","1980","Not Unique","7"
"12V","Left and Right Switches","1974","Not Unique","5"
"12V","Left and Right Switches","1974","Unique","2"
"12V","Level Crossing Manual","1980","Not Unique","28"
"12V","Level Crossing Manual","1980","Unique","3"
"12V","Lighting Set Electric 12v","1980","Not Unique","7"
"12V","Motor Bushings","1969","Not Unique","1"
"12V","Remote Controlled Decoupling","1981","Not Unique","7"
"12V","Remote Controlled Decoupling","1981","Unique","5"
"12V","Remote Controlled Point Motor","1980","Not Unique","6"
"12V","Remote Controlled Points Left 12v","1980","Not Unique","9"
"12V","Remote Controlled Points Right 12v","1980","Not Unique","9"
"12V","Remote Controlled Road Crossing","1983","Not Unique","60"
"12V","Remote Controlled Road Crossing","1983","Unique","2"
"12V","Remote Controlled Signal 12v","1980","Not Unique","11"
